Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,310820,-,-,-,33.45,-112.06,-7,321,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature
2013,1,1,0,0,0,1.3023008108139038,2.4001403808593977
2013,1,1,0,30,0,1.105068564414978,2.1743713378906477
2013,1,1,1,0,0,0.9078362584114075,1.9486328125000227
2013,1,1,1,30,0,0.8362388610839844,1.7539001464843977
2013,1,1,2,0,0,0.764641523361206,1.5591369628906477
2013,1,1,2,30,0,0.8459358215332031,1.3992248535156477
2013,1,1,3,0,0,0.927230179309845,1.2393127441406477
2013,1,1,3,30,0,1.038826584815979,1.1013427734375227
2013,1,1,4,0,0,1.1504229307174683,0.9633728027343977
2013,1,1,4,30,0,1.3293057680130005,0.8403869628906477
2013,1,1,5,0,0,1.5081886053085327,0.7174011230468977
2013,1,1,5,30,0,1.7392256259918213,0.6101928710937727
2013,1,1,6,0,0,1.9702625274658203,0.5029846191406477
2013,1,1,6,30,0,2.20863676071167,0.5237365722656477
2013,1,1,7,0,0,2.4470112323760986,0.5444885253906477
2013,1,1,7,30,0,2.6167092323303223,1.8575683593750227
2013,1,1,8,0,53,2.786407470703125,3.1706481933593977
2013,1,1,8,30,140,2.623936414718628,4.553338623046898
2013,1,1,9,0,233,2.461465358734131,5.936029052734398
2013,1,1,9,30,214,2.3130507469177246,7.571374511718773
2013,1,1,10,0,309,2.1646363735198975,9.206689453125023
2013,1,1,10,30,350,2.0054514408111572,10.225915527343773
2013,1,1,11,0,355,1.8462663888931274,11.245141601562523
2013,1,1,11,30,566,1.7650067806243896,11.857873535156273
2013,1,1,12,0,592,1.6837472915649414,12.470605468750023
2013,1,1,12,30,601,1.6460061073303223,12.786584472656273
2013,1,1,13,0,594,1.6082649230957031,13.102563476562523
2013,1,1,13,30,570,1.5369248390197754,13.111871337890648
2013,1,1,14,0,531,1.4655848741531372,13.121148681640648
2013,1,1,14,30,358,1.3672800064086914,12.665216064453148
2013,1,1,15,0,315,1.268975019454956,12.209283447265648
2013,1,1,15,30,180,1.0635226964950562,11.224816894531273
2013,1,1,16,0,243,0.858070433139801,10.240350341796898
2013,1,1,16,30,151,0.7899878025054932,9.060021972656273
2013,1,1,17,0,63,0.7219051122665405,7.879724121093773
2013,1,1,17,30,0,0.966782808303833,7.529931640625023
2013,1,1,18,0,0,1.2116605043411255,7.180139160156273
2013,1,1,18,30,0,1.554508090019226,6.884881591796898
2013,1,1,19,0,0,1.8973556756973267,6.589654541015648
2013,1,1,19,30,0,2.340986728668213,6.286614990234398
2013,1,1,20,0,0,2.7846179008483887,5.983575439453148
2013,1,1,20,30,0,3.2018215656280518,5.599511718750023
2013,1,1,21,0,0,3.619025230407715,5.215417480468773
2013,1,1,21,30,0,3.8879804611206055,4.691094970703148
2013,1,1,22,0,0,4.156935691833496,4.166741943359398
2013,1,1,22,30,0,4.298033714294434,3.7692810058593977
2013,1,1,23,0,0,4.439132213592529,3.3718200683593977
2013,1,1,23,30,0,4.49871301651001,3.0458312988281477
2013,1,2,0,0,0,4.55829381942749,2.7198425292968977
2013,1,2,0,30,0,4.576169967651367,2.3896728515625227
2013,1,2,1,0,0,4.594045639038086,2.0595031738281477
2013,1,2,1,30,0,4.564002990722656,1.8675781250000227
2013,1,2,2,0,0,4.533960819244385,1.6756530761718977
2013,1,2,2,30,0,4.52072811126709,1.6045776367187727
2013,1,2,3,0,0,4.507495403289795,1.5335327148437727
2013,1,2,3,30,0,4.513232707977295,1.4816223144531477
2013,1,2,4,0,0,4.518970012664795,1.4297424316406477
2013,1,2,4,30,0,4.531704902648926,1.3591857910156477
2013,1,2,5,0,0,4.544439792633057,1.2886596679687727
2013,1,2,5,30,0,4.545964241027832,1.2026611328125227
2013,1,2,6,0,0,4.547489166259766,1.1166625976562727
2013,1,2,6,30,0,4.536167144775391,1.0943847656250227
2013,1,2,7,0,0,4.524845600128174,1.0721069335937727
2013,1,2,7,30,0,4.432905197143555,1.9402099609375227
2013,1,2,8,0,54,4.3409647941589355,2.8083129882812727
2013,1,2,8,30,145,4.076827526092529,4.585290527343773
2013,1,2,9,0,240,3.812690019607544,6.362268066406273
2013,1,2,9,30,331,3.6408004760742188,8.579187011718773
2013,1,2,10,0,413,3.4689109325408936,10.796105957031273
